0,1,2,0,4,5,6,7,1,2,3,3,0,1,2,3,0,1,2,24,25,26,27,7,1,2,3,0,4,5,6,7,1,2,3
8,9,10,8,12,13,14,15,9,10,11,11,8,9,10,11,8,9,10,11,12,13,14,15,9,10,11,8,12,13,14,15,9,10,11
16,17,18,16,20,21,22,23,17,18,19,19,16,17,18,19,16,17,18,19,20,21,22,23,17,18,19,16,20,21,22,23,17,18,19
24,25,26,24,28,29,30,31,25,26,27,27,24,25,26,27,24,25,26,27,28,29,30,31,25,26,27,24,28,29,30,31,25,26,27
0,1,2,3,4,0,1,2,3,1,2,3,4,5,6,7,0,1,2,3,4,0,1,2,3,1,2,3,4,5,6,7,0,1,2
8,9,10,11,12,8,9,10,11,9,10,11,12,13,14,15,8,9,10,11,12,8,9,10,11,9,10,11,12,13,14,15,8,9,10
16,17,18,19,20,16,17,18,19,17,18,19,20,21,22,23,16,17,18,19,20,16,17,18,19,17,18,19,20,21,22,23,16,17,18
0,1,2,3,28,24,25,26,27,25,26,27,28,29,30,31,24,25,26,27,28,24,25,26,27,25,26,27,4,5,6,7,24,25,26
0,1,2,0,4,5,6,7,2,0,1,2,4,5,6,7,0,1,2,3,4,5,6,7,0,1,2,3,12,13,14,15,2,3,3
8,9,10,8,12,13,14,15,10,8,9,10,12,13,14,15,8,9,10,11,12,13,14,15,8,9,10,11,20,21,22,23,10,11,11
16,17,18,16,4,5,6,7,18,16,17,18,20,21,22,23,16,17,18,19,20,21,22,23,16,17,18,19,28,29,30,31,18,19,19
24,25,26,24,12,13,14,15,26,24,25,26,28,29,30,31,24,25,26,27,28,29,30,31,24,25,26,27,24,25,24,25,26,27,27
0,1,2,3,20,21,22,23,0,1,2,3,4,5,6,7,0,1,2,3,4,5,6,7,0,1,2,3,4,5,6,7,0,1,2
8,9,10,11,28,29,30,31,8,9,10,11,12,13,14,15,8,9,10,11,12,13,14,15,8,9,10,11,12,13,14,15,8,9,10
16,17,18,19,20,21,22,23,16,17,18,19,20,21,22,23,16,17,18,19,20,21,22,23,16,17,18,19,20,21,22,23,16,17,18
24,25,26,27,28,29,30,31,24,25,26,27,28,29,30,31,24,25,26,27,28,29,30,31,24,25,26,27,28,29,30,31,24,25,26
